File_Name,Coef_Pearson,Iph_0,Is_0,nd_0,Rs_0,Rp_0,Iph,Is,nd,Rs,Rp
2024-03-01_06:00:10,-1.0,0.03793,9.825000e-08,0.05813,11.65579,11.47267,0.00758,7.968991e-08,0.13637,0.02474,45.44786
2024-03-01_06:01:09,-0.9236,0.03834,9.825000e-08,0.11626,-14.764,8.07207,0.00045,2.628517e-06,4.33002,-731.02679,733.14272
2024-03-01_06:02:10,-1.0,0.04767,9.825000e-08,0.11626,2.50541,8.8085,0.00978,1.481772e-06,0.30838,0.21168,105.122
2024-03-01_06:03:09,-1.0,0.04118,9.825000e-08,0.17438,1.35588,19.22411,0.00831,2.006960e-11,0.12051,0.01398,368.06768
2024-03-01_06:04:10,-1.0,0.04564,9.825000e-08,0.23251,0.35152,23.64306,0.01051,1.395201e-06,1.09857,0.00287,609.66768
2024-03-01_06:05:09,-0.9999,0.05153,9.825000e-08,0.29064,14.92624,44.55178,0.01501,1.178149e-07,0.39544,0.01871,401.76162
2024-03-01_06:06:09,-1.0,0.05457,9.825000e-08,0.46503,42.84454,35.00047,0.02829,1.971000e-12,0.25855,1.51247,167.84226
2024-03-01_06:07:09,-0.9999,0.05335,9.825000e-08,0.58128,10.66932,60.63343,0.02131,1.410106e-07,0.80159,0.18976,838.93614
2024-03-01_06:08:09,-1.0,0.07039,9.825000e-08,0.75567,11.87908,79.62987,0.03018,4.679739e-07,1.99227,0.00414,1075.11246
2024-03-01_06:09:10,-0.9957,0.07039,9.825000e-08,0.87192,2.30924,87.10507,0.03056,4.487245e-07,1.17854,0.0238,2257.85984
2024-03-01_06:10:09,-1.0,0.06654,9.825000e-08,0.93005,4.84759,141.57365,0.03208,5.013936e-08,1.3315,0.19171,1740.34884
2024-03-01_06:11:10,-1.0,0.07222,9.825000e-08,0.87192,14.25891,78.35246,0.03543,2.791424e-08,1.11676,0.75296,794.19877
2024-03-01_06:12:09,-0.9999,0.06228,9.825000e-08,0.8138,6.25251,114.72332,0.02687,8.528452e-07,1.45486,0.12325,1505.39091
2024-03-01_06:13:10,-1.0,0.06654,9.825000e-08,0.75567,8.89375,83.45482,0.02733,1.011689e-07,3.27532,0.06912,1114.86132
2024-03-01_06:14:09,-1.0,0.06735,9.825000e-08,0.75567,15.97203,64.58017,0.02976,2.152674e-08,0.96693,0.10227,973.63384
2024-03-01_06:15:09,-1.0,0.0641,9.825000e-08,0.75567,50.90118,85.53898,0.02769,1.107309e-06,4.77499,0.6242,903.92679
2024-03-01_06:16:10,-1.0,0.06289,9.825000e-08,0.75567,1.9229,160.17704,0.02653,1.560372e-06,10.34617,0.00653,3757.4792
2024-03-01_06:17:09,-1.0,0.06897,9.825000e-08,0.87192,13.14283,118.63953,0.03437,3.358173e-07,1.49373,0.06474,1162.88259
2024-03-01_06:18:10,-1.0,0.06897,9.825000e-08,0.98818,23.13625,111.95357,0.03592,1.334751e-07,1.54023,0.2652,1432.30348
2024-03-01_06:19:09,-0.9366,0.07181,9.825000e-08,1.04631,1.36122,181.62927,0.03617,7.251866e-07,1.20185,0.51014,2342.55913
2024-03-01_06:20:10,-0.988,0.07851,9.825000e-08,1.10444,4.15052,108.10807,0.0403,1.955005e-07,1.19764,0.05358,2195.0248
2024-03-01_06:21:09,-0.981,0.07911,9.825000e-08,1.04631,7.16417,119.82336,0.04104,2.528928e-07,1.13941,0.00636,1571.19984
2024-03-01_06:22:09,-0.9918,0.07688,9.825000e-08,1.10444,3.52456,106.35999,0.03895,4.716457e-08,1.02429,0.17848,1252.841
2024-03-01_06:23:10,-1.0,0.08398,9.825000e-08,1.22069,7.86014,143.39558,0.04683,7.067177e-07,5.89764,0.00041,1336.12247
2024-03-01_06:24:09,-1.0,0.10041,9.825000e-08,1.45321,19.57176,124.59758,0.0595,4.604664e-08,2.2355,0.01192,614.36386
2024-03-01_06:25:10,-0.9129,0.08763,9.825000e-08,1.56946,37.60486,218.57884,0.06714,1.747658e-07,1.31993,0.05811,696.74674
2024-03-01_06:26:09,-0.9014,0.10589,9.825000e-08,1.62759,27.26141,304.89227,0.08374,3.272603e-07,1.40161,0.0361,558.76892
2024-03-01_06:27:10,-0.8762,0.11319,9.825000e-08,1.68572,34.19951,186.1308,0.08937,1.224168e-07,1.29303,0.01882,571.09395
2024-03-01_06:28:09,-0.8882,0.11827,9.825000e-08,1.68572,34.8301,218.84746,0.09868,1.293847e-07,1.31378,0.07217,510.15045
2024-03-01_06:29:09,-0.872,0.13591,9.825000e-08,1.68572,36.47059,239.54298,0.10694,9.459901e-08,1.28197,0.01849,601.66021
2024-03-01_06:30:09,-0.8884,0.13754,9.825000e-08,1.74385,26.34712,132.79234,0.11906,2.812770e-08,1.1848,0.02141,436.4958
2024-03-01_06:31:09,-0.9016,0.15519,9.825000e-08,1.74385,25.84282,199.1625,0.13503,1.132155e-09,0.9816,0.01334,317.6169
2024-03-01_06:32:10,-0.8976,0.16918,9.825000e-08,1.74385,19.17917,208.01366,0.14204,1.031591e-07,1.30272,0.02731,404.68975
2024-03-01_06:33:09,-0.8778,0.16594,9.825000e-08,1.74385,25.62486,266.86423,0.13954,2.027410e-07,1.3608,0.00045,633.02064
2024-03-01_06:34:10,-0.8879,0.18135,9.825000e-08,1.80198,21.16752,277.09039,0.15862,1.255277e-08,1.13073,0.02044,402.18599
2024-03-01_06:35:09,-0.8878,0.18886,9.825000e-08,1.80198,18.81686,202.98171,0.16217,3.578815e-08,1.21138,0.00469,442.71557
2024-03-01_06:36:10,-0.8847,0.18663,9.825000e-08,1.80198,15.30505,208.76927,0.16721,6.244434e-08,1.25535,0.00279,492.76023
2024-03-01_06:37:09,-0.9063,0.19961,9.825000e-08,1.80198,21.58534,256.51069,0.18657,6.820975e-08,1.2714,0.01455,312.27088
2024-03-01_06:38:09,-0.899,0.20488,9.825000e-08,1.80198,17.04983,250.31692,0.19769,3.177924e-08,1.20641,0.00475,335.06147
2024-03-01_06:39:09,-0.8915,0.22395,9.825000e-08,1.80198,16.88839,169.17789,0.20491,3.408575e-08,1.20917,0.00499,394.57539
2024-03-01_06:40:09,-0.8877,0.22111,9.825000e-08,1.80198,17.01532,291.7852,0.20581,1.580885e-08,1.15208,0.00173,411.44682
2024-03-01_06:41:10,-0.8933,0.23349,9.825000e-08,1.86011,12.39727,351.19891,0.22049,8.649882e-08,1.28674,0.01665,413.23974
2024-03-01_06:42:09,-0.8906,0.25174,9.825000e-08,1.86011,13.83015,213.38873,0.22456,9.261078e-08,1.29128,0.00994,452.51339
2024-03-01_06:43:10,-0.889,0.25114,9.825000e-08,1.86011,12.59719,208.16094,0.22589,4.098730e-07,1.43438,0.00421,624.28032
2024-03-01_06:44:09,-0.8941,0.26229,9.825000e-08,1.86011,12.05149,205.25446,0.24139,4.883349e-08,1.23796,0.00646,376.26645
2024-03-01_06:45:09,-0.9091,0.26777,9.825000e-08,1.86011,11.38234,192.46696,0.25648,7.216846e-08,1.27624,0.01476,260.61525
2024-03-01_06:46:09,-0.8916,0.27386,9.825000e-08,1.86011,11.94019,196.79878,0.25265,9.806357e-08,1.29456,0.00192,440.01229
2024-03-01_06:47:09,-0.8947,0.2698,9.825000e-08,1.86011,11.96248,349.46458,0.26388,8.880688e-08,1.28691,0.00689,389.62202
2024-03-01_06:48:10,-0.8851,0.27406,9.825000e-08,1.86011,10.34994,728.41755,0.25882,9.203231e-08,1.28611,0.00103,590.89204
2024-03-01_06:49:09,-0.9082,0.28907,9.825000e-08,1.86011,11.0179,242.70385,0.28807,8.948925e-08,1.29157,0.00074,253.86316
2024-03-01_06:50:10,-0.8949,0.2913,9.825000e-08,1.86011,10.89805,390.74717,0.28575,1.015056e-07,1.29653,0.02223,389.6753
2024-03-01_06:51:09,-0.8985,0.30307,9.825000e-08,1.86011,9.13736,292.86613,0.29243,9.187948e-08,1.2891,0.00256,335.32163
2024-03-01_06:52:09,-0.8961,0.30266,9.825000e-08,1.86011,10.48711,229.3515,0.29624,1.707388e-07,1.34334,0.00977,399.80034
2024-03-01_06:53:09,-0.9127,0.31362,9.825000e-08,1.86011,7.98046,178.96046,0.32597,5.036661e-08,1.24425,2e-05,207.5153
2024-03-01_06:54:09,-0.9014,0.32335,9.825000e-08,1.86011,10.06808,249.20651,0.31467,6.197248e-08,1.256,0.00851,288.84963
2024-03-01_06:55:10,-0.8833,0.32518,9.825000e-08,1.86011,7.56513,1091.35141,0.3059,6.822889e-08,1.25687,0.0,678.03582
2024-03-01_06:56:09,-0.8913,0.33471,9.825000e-08,1.86011,7.75282,417.27665,0.31993,9.707868e-08,1.28819,1e-05,449.98359
2024-03-01_06:57:10,-0.9059,0.34384,9.825000e-08,1.86011,8.84738,204.8402,0.33832,1.462582e-07,1.32887,0.02338,262.93572
2024-03-01_06:58:09,-0.9042,0.35033,9.825000e-08,1.86011,7.93257,213.57324,0.3504,8.184499e-08,1.27757,0.02137,259.73307
2024-03-01_06:59:09,-0.9089,0.3696,9.825000e-08,1.91823,6.81392,242.3719,0.37597,1.055620e-07,1.3012,0.02315,224.3898
2024-03-01_07:00:10,-0.8929,0.3694,9.825000e-08,1.91823,7.12853,371.1374,0.36287,1.071562e-07,1.29617,0.00275,434.73097
2024-03-01_07:01:09,-0.9073,0.39557,9.825000e-08,1.91823,7.13138,164.57889,0.39047,1.773465e-08,1.16245,0.01507,199.61294
2024-03-01_07:02:10,-0.9088,0.37488,9.825000e-08,1.91823,6.37688,229.16321,0.38904,3.248367e-08,1.20478,0.00497,200.77052
2024-03-01_07:03:09,-0.9044,0.3836,9.825000e-08,1.91823,7.15174,194.49215,0.36885,4.104769e-07,1.42416,0.00315,308.08191
2024-03-01_07:04:10,-0.9044,0.39111,9.825000e-08,1.91823,8.1801,278.18374,0.38849,1.591453e-07,1.33171,0.01362,265.80242
2024-03-01_07:05:09,-0.8916,0.37772,9.825000e-08,1.91823,7.14786,388.33419,0.36521,3.410740e-08,1.20164,0.00045,385.57837
2024-03-01_07:06:09,-0.898,0.39314,9.825000e-08,1.91823,7.01882,162.71128,0.37223,7.201615e-08,1.26073,0.00534,317.29487
2024-03-01_07:07:10,-0.9062,0.37062,9.825000e-08,1.91823,7.75525,250.77185,0.37516,9.974675e-08,1.29005,0.00427,241.75916
2024-03-01_07:08:09,-0.904,0.36534,9.825000e-08,1.86011,8.3947,166.76834,0.35307,4.435923e-08,1.22277,0.04255,248.12431
2024-03-01_07:09:10,-0.8928,0.35865,9.825000e-08,1.86011,8.84743,250.04609,0.34524,6.629098e-08,1.25039,0.00019,398.42793
2024-03-01_07:10:09,-0.8995,0.34993,9.825000e-08,1.86011,8.15116,263.23457,0.34109,1.787544e-08,1.154,0.0072,265.17547
2024-03-01_07:11:10,-0.8961,0.33005,9.825000e-08,1.86011,9.49187,340.41682,0.32444,5.696922e-08,1.23898,0.00544,339.0443
2024-03-01_07:12:09,-0.8955,0.31869,9.825000e-08,1.86011,8.53881,261.12873,0.31213,1.579348e-08,1.14364,0.00914,302.96275
2024-03-01_07:13:09,-0.9109,0.32153,9.825000e-08,1.86011,9.12669,181.06802,0.32587,8.168984e-08,1.27364,0.0028,221.79753
2024-03-01_07:14:10,-0.908,0.31848,9.825000e-08,1.86011,10.82459,228.07368,0.32367,9.198712e-08,1.28201,0.00284,239.98382
2024-03-01_07:15:09,-0.9056,0.33187,9.825000e-08,1.86011,9.4817,217.21487,0.325,9.898427e-08,1.28788,0.00092,258.35093
2024-03-01_07:16:10,-0.8944,0.32761,9.825000e-08,1.86011,8.4216,237.0497,0.31828,1.039726e-07,1.28742,0.01321,386.95237
2024-03-01_07:17:09,-0.8946,0.33066,9.825000e-08,1.86011,8.17887,281.71037,0.31696,4.507798e-08,1.22129,0.01144,348.51428
2024-03-01_07:18:10,-0.9069,0.33735,9.825000e-08,1.86011,9.18692,223.41889,0.34069,1.108663e-07,1.29909,0.00288,246.85025
2024-03-01_07:19:09,-0.8867,0.34465,9.825000e-08,1.86011,8.67739,331.00685,0.32688,7.984183e-08,1.26366,0.0,559.85612
